ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,1,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:53+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,2,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:37:54+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,3,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:54+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,4,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:54+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,5,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:37:55+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,6,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:55+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,7,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:55+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,8,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:37:56+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,9,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:56+00:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,10,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:56+00:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,1,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:37:57+00:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,2,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:37:58+00:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,3,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:37:58+00:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,4,PASS,0.2,6000,0,2026-02-06T11:37:58+00:00
