ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,1,PASS,0.0,51000,0,2026-02-06T01:30:53-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,2,PASS,0.0,51000,1,2026-02-06T01:30:54-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,3,PASS,0.0,51000,1,2026-02-06T01:30:55-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,4,PASS,0.0,51000,1,2026-02-06T01:30:56-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,5,PASS,0.0,51000,1,2026-02-06T01:30:57-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,6,PASS,0.0,51000,0,2026-02-06T01:30:57-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,7,PASS,0.0,51000,1,2026-02-06T01:30:58-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,8,PASS,0.0,51000,1,2026-02-06T01:30:59-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,9,PASS,0.0,51000,1,2026-02-06T01:31:00-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,10,PASS,0.0,51000,0,2026-02-06T01:31:00-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,1,PASS,0.1,51000,37,2026-02-06T01:31:37-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,2,PASS,0.2,51000,36,2026-02-06T01:32:13-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,3,PASS,0.0,51000,36,2026-02-06T01:32:49-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,4,PASS,0.1,51000,36,2026-02-06T01:33:25-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,5,PASS,1.9,51000,36,2026-02-06T01:34:01-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,6,PASS,3.6,51000,37,2026-02-06T01:34:38-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,7,PASS,0.1,51000,36,2026-02-06T01:35:14-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,8,PASS,0.7,51000,36,2026-02-06T01:35:50-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,9,PASS,0.2,51000,37,2026-02-06T01:36:27-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,10,PASS,4.4,56000,39,2026-02-06T01:37:06-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,1,PASS,14.1,95000,48,2026-02-06T01:37:54-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,2,INCONCLUSIVE,0.0,62000,31,2026-02-06T01:38:25-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,3,FAIL,0.0,51000,26,2026-02-06T01:38:51-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,4,FAIL,0.0,51000,26,2026-02-06T01:39:17-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,5,FAIL,0.0,51000,26,2026-02-06T01:39:43-03:00
