ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,1,PASS,0.0,6000,0,2026-02-06T01:00:14-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,2,PASS,0.0,6000,0,2026-02-06T01:00:14-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,3,PASS,0.0,6000,1,2026-02-06T01:00:15-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,4,PASS,0.0,6000,0,2026-02-06T01:00:15-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,5,PASS,0.0,6000,0,2026-02-06T01:00:15-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,6,PASS,0.0,6000,0,2026-02-06T01:00:15-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,7,PASS,0.0,6000,0,2026-02-06T01:00:15-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,8,PASS,0.0,6000,1,2026-02-06T01:00:16-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,9,PASS,0.0,6000,0,2026-02-06T01:00:16-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,10,PASS,0.0,6000,0,2026-02-06T01:00:16-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,1,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:00:20-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,2,INCONCLUSIVE,0.0,6000,5,2026-02-06T01:00:25-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,3,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:00:29-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,4,INCONCLUSIVE,0.0,6000,5,2026-02-06T01:00:34-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,5,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:00:38-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,6,INCONCLUSIVE,0.0,6000,5,2026-02-06T01:00:43-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,7,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:00:47-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,8,INCONCLUSIVE,0.0,6000,5,2026-02-06T01:00:52-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,9,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:00:56-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,10,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:01:01-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,1,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:01:05-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,2,FAIL,0.0,37000,18,2026-02-06T01:01:23-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,3,INCONCLUSIVE,0.0,6000,4,2026-02-06T01:01:27-03:00
