ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,1,PASS,0.0,6000,0,2026-02-05T22:05:04-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,2,PASS,0.0,6000,1,2026-02-05T22:05:05-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,3,PASS,0.0,6000,0,2026-02-05T22:05:05-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,4,PASS,0.0,6000,0,2026-02-05T22:05:05-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,5,PASS,0.0,6000,0,2026-02-05T22:05:05-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,6,PASS,0.0,6000,0,2026-02-05T22:05:05-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,7,PASS,0.0,6000,1,2026-02-05T22:05:06-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,8,PASS,0.0,6000,0,2026-02-05T22:05:06-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,9,PASS,0.0,6000,0,2026-02-05T22:05:06-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,10,PASS,0.0,6000,0,2026-02-05T22:05:06-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,1,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:11-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,2,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:16-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,3,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:21-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,4,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:26-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,5,INCONCLUSIVE,0.0,6000,6,2026-02-05T22:05:32-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,6,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:37-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,7,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:42-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,8,INCONCLUSIVE,0.0,6000,6,2026-02-05T22:05:48-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,9,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:53-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,10,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:05:58-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,1,INCONCLUSIVE,0.0,59000,33,2026-02-05T22:06:31-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,2,INCONCLUSIVE,0.0,6000,4,2026-02-05T22:06:35-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,3,INCONCLUSIVE,0.0,36000,21,2026-02-05T22:06:56-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,4,INCONCLUSIVE,0.0,31000,18,2026-02-05T22:07:14-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,5,FAIL,0.0,33000,18,2026-02-05T22:07:32-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,6,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:07:37-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,7,INCONCLUSIVE,0.0,6000,4,2026-02-05T22:07:41-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,8,INCONCLUSIVE,0.0,52000,29,2026-02-05T22:08:10-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,9,INCONCLUSIVE,0.0,6000,4,2026-02-05T22:08:14-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_verify_constant_time,10,INCONCLUSIVE,0.0,6000,5,2026-02-05T22:08:19-03:00
