ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,1,PASS,0.0,6000,0,2026-02-05T19:15:49-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,2,PASS,0.0,6000,1,2026-02-05T19:15:50-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,3,PASS,0.0,6000,0,2026-02-05T19:15:50-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,4,PASS,0.0,6000,0,2026-02-05T19:15:50-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,5,PASS,0.0,6000,0,2026-02-05T19:15:50-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,6,PASS,0.0,6000,1,2026-02-05T19:15:51-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,7,PASS,0.0,6000,0,2026-02-05T19:15:51-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,8,PASS,0.0,6000,0,2026-02-05T19:15:51-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,9,PASS,0.0,6000,0,2026-02-05T19:15:51-03:00
C/C++,libressl,c_libraries::libressl::libressl_aes_256_gcm_encrypt_constant_time,10,PASS,0.0,6000,0,2026-02-05T19:15:51-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,1,UNKNOWN,0.0,6000,6,2026-02-05T19:15:57-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,2,UNKNOWN,0.0,6000,5,2026-02-05T19:16:02-03:00
C/C++,libressl,c_libraries::libressl::libressl_ecdsa_p256_sign_constant_time,3,UNKNOWN,0.0,6000,6,2026-02-05T19:16:08-03:00
